t,qx,qy,qz,qw,ax,ay,az,gx,gy,gz
1199.504198,-0.635493,0.769213,-0.011299,-0.065819,1.537643,0.875982,-13.124233,-0.001298,0.002033,-0.000819
1199.531522,-0.635514,0.769137,-0.010626,-0.066604,1.537443,0.924478,-13.069418,-0.000234,0.000968,-0.000819
1199.562118,-0.635532,0.769200,-0.010870,-0.065672,1.507972,0.868663,-13.083357,0.000830,0.002033,0.000245
1199.600876,-0.635587,0.769114,-0.009423,-0.066364,1.503679,0.937811,-13.065204,-0.001298,0.002033,0.000245
1199.622155,-0.635571,0.769153,-0.010088,-0.065969,1.518631,0.876871,-13.091673,0.000830,0.000968,-0.000819
1199.647474,-0.635579,0.769113,-0.009849,-0.066385,1.520555,0.927956,-13.073698,-0.000234,0.002033,-0.000819
1199.668759,-0.635594,0.769094,-0.009646,-0.066495,1.515584,0.931026,-13.092992,-0.001298,0.002033,-0.000819
1199.689812,-0.635605,0.769090,-0.009597,-0.066441,1.511053,0.922089,-13.067821,-0.000234,-0.000096,-0.000819
1199.711523,-0.635610,0.769124,-0.010111,-0.065931,1.512502,0.876331,-13.110846,-0.000234,0.002033,-0.001884
1199.732492,-0.635607,0.769102,-0.009948,-0.066229,1.514847,0.920384,-13.042692,-0.001298,0.003097,0.000245
1199.754175,-0.635594,0.769055,-0.009739,-0.066934,1.537312,0.947960,-13.047913,-0.000234,0.002033,0.000245
1199.775100,-0.635575,0.769079,-0.010473,-0.066726,1.550917,0.882583,-13.103904,0.000830,0.000968,-0.001884
1199.796829,-0.635610,0.769098,-0.010305,-0.066199,1.502742,0.897191,-13.096667,-0.000234,0.000968,-0.000819
1199.817899,-0.635631,0.769078,-0.009869,-0.066288,1.502714,0.927446,-13.048159,-0.000234,0.003097,0.000245
1199.838974,-0.635628,0.769049,-0.009821,-0.066666,1.531341,0.931651,-13.071128,-0.000234,0.000968,-0.000819
1199.860710,-0.635646,0.769058,-0.009787,-0.066398,1.508653,0.913235,-13.082938,-0.000234,0.000968,-0.000819
1199.881636,-0.635632,0.769087,-0.010175,-0.066139,1.520859,0.888772,-13.096875,-0.000234,0.002033,0.000245
1199.903326,-0.635653,0.769051,-0.009768,-0.066412,1.509889,0.933639,-13.042259,-0.000234,0.002033,-0.000819
1199.927209,-0.635619,0.769019,-0.010111,-0.067044,1.557697,0.927563,-13.089057,-0.000234,0.000968,-0.000819
1199.949408,-0.635602,0.769068,-0.010823,-0.066545,1.547259,0.868419,-13.136633,-0.000234,-0.000096,-0.000819
1199.970325,-0.635657,0.769085,-0.010381,-0.065882,1.474410,0.890469,-13.034407,-0.000234,0.000968,-0.000819
1199.991428,-0.635645,0.769065,-0.010339,-0.066237,1.526955,0.910685,-13.045417,-0.001298,0.002033,0.000245
1200.015750,-0.635645,0.769026,-0.010375,-0.066679,1.545631,0.919729,-13.110478,-0.001298,0.002033,-0.001884
1200.036658,-0.635677,0.769041,-0.010383,-0.066203,1.512299,0.893170,-13.111600,0.000830,-0.000096,-0.001884
1200.058680,-0.635720,0.769052,-0.010045,-0.065716,1.485877,0.900767,-13.097390,-0.000234,0.000968,-0.000819
1200.079754,-0.635664,0.769041,-0.010828,-0.066248,1.559918,0.880101,-13.020405,-0.000234,0.002033,-0.000819
1200.121639,-0.635647,0.768976,-0.010808,-0.067173,1.548591,0.910759,-13.043510,-0.001298,0.002033,-0.000819
1200.142548,-0.635681,0.769002,-0.010856,-0.066536,1.519828,0.881916,-13.083549,-0.000234,0.000968,-0.001884
1200.163734,-0.635683,0.768974,-0.010603,-0.066890,1.542272,0.924587,-13.065701,-0.000234,0.002033,0.000245
1200.184423,-0.635670,0.768958,-0.010770,-0.067158,1.558090,0.911550,-13.058658,-0.000234,0.000968,-0.000819
1200.205520,-0.635708,0.768974,-0.010723,-0.066628,1.521942,0.893321,-13.106536,0.000830,0.000968,-0.001884
1200.226347,-0.635737,0.768947,-0.010263,-0.066739,1.528560,0.933800,-13.123543,-0.001298,0.000968,-0.000819
1200.247119,-0.635704,0.768942,-0.010584,-0.067054,1.564890,0.913586,-13.115496,-0.001298,0.000968,0.000245
1200.268183,-0.635721,0.768932,-0.010285,-0.067061,1.531332,0.929080,-13.076949,0.000830,0.000968,0.000245
1200.289196,-0.635741,0.768948,-0.010271,-0.066687,1.518457,0.903961,-13.070329,-0.000234,-0.000096,-0.000819
1200.310651,-0.635775,0.768967,-0.010315,-0.066135,1.504098,0.889005,-13.087950,0.000830,0.002033,-0.001884
1200.331270,-0.635778,0.768946,-0.010086,-0.066388,1.520674,0.923409,-13.063997,-0.001298,0.002033,0.000245
1200.352160,-0.635815,0.768896,-0.009365,-0.066713,1.506896,0.963982,-13.076941,-0.000234,0.000968,-0.000819
1200.373685,-0.635819,0.768921,-0.009796,-0.066322,1.511507,0.892415,-13.052245,-0.000234,-0.000096,-0.001884
1200.394438,-0.635830,0.768955,-0.010062,-0.065778,1.495955,0.878758,-13.066402,0.000830,0.000968,-0.000819
1200.415758,-0.635801,0.768923,-0.010146,-0.066421,1.544463,0.924934,-13.096504,-0.001298,0.002033,0.000245
1200.436570,-0.635776,0.768884,-0.010300,-0.067083,1.564750,0.933227,-13.102129,-0.000234,0.002033,-0.000819
1200.458095,-0.635775,0.768834,-0.010245,-0.067680,1.572745,0.950426,-13.133486,-0.000234,0.000968,-0.001884
1200.478721,-0.635801,0.768869,-0.010324,-0.067017,1.519481,0.898128,-13.106832,-0.000234,0.002033,-0.000819
1200.499583,-0.635834,0.768905,-0.010137,-0.066311,1.491868,0.896906,-13.106514,-0.001298,0.002033,0.000245
1200.520970,-0.635894,0.768844,-0.009057,-0.066594,1.486110,0.985165,-13.094007,-0.000234,0.003097,-0.000819
1200.541598,-0.635872,0.768843,-0.009602,-0.066737,1.538730,0.914726,-13.073690,-0.000234,-0.000096,-0.001884
1200.562972,-0.635864,0.768878,-0.010124,-0.066347,1.525604,0.887247,-13.108518,0.000830,0.000968,-0.000819
1200.583584,-0.635880,0.768888,-0.010144,-0.066075,1.507610,0.898733,-13.084704,-0.000234,0.002033,-0.000819
1200.604992,-0.635838,0.768869,-0.010517,-0.066632,1.562449,0.913416,-13.121505,-0.000234,0.002033,0.000245
1200.625612,-0.635869,0.768852,-0.010273,-0.066571,1.519484,0.917128,-13.073253,-0.000234,0.000968,-0.001884
1200.646379,-0.635887,0.768845,-0.010134,-0.066498,1.522832,0.918549,-13.108814,0.000830,-0.000096,-0.000819
1200.667648,-0.635877,0.768878,-0.010488,-0.066167,1.523335,0.882762,-13.096525,-0.000234,0.002033,0.000245
1200.688282,-0.635900,0.768863,-0.010222,-0.066147,1.512175,0.914147,-13.093544,-0.000234,0.002033,-0.000819
1200.709538,-0.635910,0.768829,-0.010125,-0.066472,1.533626,0.924815,-13.100422,-0.000234,-0.000096,-0.001884
1200.730203,-0.635920,0.768865,-0.010570,-0.065886,1.511604,0.862457,-13.090082,-0.000234,0.002033,-0.001884
1200.750981,-0.635945,0.768843,-0.010225,-0.065957,1.507460,0.914535,-13.079475,-0.000234,0.002033,-0.000819
1200.772158,-0.635929,0.768808,-0.010144,-0.066527,1.540778,0.930909,-13.098080,-0.000234,0.002033,0.000245
1200.792896,-0.635941,0.768809,-0.010131,-0.066402,1.522866,0.912370,-13.114473,0.000830,-0.000096,-0.000819
1200.813976,-0.635945,0.768842,-0.010628,-0.065891,1.517650,0.863903,-13.081635,0.000830,-0.000096,-0.001884
1200.834587,-0.635973,0.768833,-0.010346,-0.065785,1.503895,0.904575,-13.091022,0.000830,0.000968,-0.000819
1200.857339,-0.635951,0.768821,-0.010325,-0.066143,1.527914,0.910899,-13.081004,-0.001298,0.002033,0.001309
1200.877932,-0.635964,0.768762,-0.009821,-0.066773,1.528716,0.954731,-13.063931,-0.001298,0.002033,-0.000819
1200.898669,-0.635967,0.768800,-0.010353,-0.066226,1.522203,0.871670,-13.105567,-0.000234,-0.000096,-0.001884
1200.921746,-0.635997,0.768817,-0.010267,-0.065756,1.500276,0.893115,-13.113187,0.000830,0.000968,-0.000819
1200.942447,-0.635982,0.768759,-0.010002,-0.066604,1.543100,0.948281,-13.079782,-0.000234,0.002033,0.000245
1200.963768,-0.636005,0.768740,-0.009859,-0.066636,1.521628,0.927396,-13.093816,-0.000234,0.000968,-0.001884
1200.984261,-0.636019,0.768773,-0.010234,-0.066056,1.511256,0.877399,-13.115683,0.000830,0.000968,-0.001884
1201.007001,-0.635987,0.768790,-0.010757,-0.066084,1.540111,0.882595,-13.103079,-0.000234,0.002033,0.000245
1201.027567,-0.636014,0.768755,-0.010129,-0.066329,1.507441,0.934705,-13.047136,-0.000234,0.002033,0.000245
1201.048431,-0.636045,0.768725,-0.009808,-0.066421,1.513182,0.932291,-13.090755,0.000830,0.000968,-0.001884
1201.069655,-0.636055,0.768765,-0.010141,-0.065806,1.498333,0.874857,-13.076832,0.000830,0.000968,-0.000819
1201.090190,-0.636050,0.768770,-0.010382,-0.065761,1.517360,0.887959,-13.082712,-0.000234,0.002033,-0.000819
1201.111170,-0.636026,0.768733,-0.010400,-0.066426,1.550312,0.925520,-13.118887,-0.000234,0.003097,0.000245
1201.131791,-0.636038,0.768723,-0.010444,-0.066418,1.532589,0.906539,-13.107954,-0.000234,-0.000096,-0.001884
1201.152560,-0.636065,0.768703,-0.010249,-0.066419,1.525144,0.919426,-13.120645,0.000830,-0.000096,-0.001884
1201.173875,-0.636017,0.768751,-0.011200,-0.066180,1.555033,0.848105,-13.087992,-0.000234,0.000968,0.000245
1201.194520,-0.636039,0.768718,-0.010625,-0.066431,1.521824,0.925718,-13.067622,-0.001298,0.002033,0.000245
1201.217474,-0.636076,0.768685,-0.010241,-0.066534,1.519435,0.923242,-13.069966,-0.000234,0.002033,-0.001884
1201.238152,-0.636097,0.768683,-0.010093,-0.066373,1.511192,0.912566,-13.063832,0.000830,-0.000096,-0.000819
1201.262532,-0.636095,0.768709,-0.010468,-0.066023,1.518650,0.883282,-13.077714,-0.000234,0.000968,-0.000819
1201.283388,-0.636106,0.768652,-0.009878,-0.066677,1.529662,0.958685,-13.094936,-0.000234,0.002033,0.000245
1201.304324,-0.636112,0.768655,-0.010105,-0.066551,1.525637,0.905112,-13.072514,-0.000234,0.000968,-0.001884
1201.327649,-0.636130,0.768679,-0.010216,-0.066092,1.507698,0.892785,-13.082063,-0.000234,0.000968,-0.000819
1201.348790,-0.636160,0.768711,-0.010368,-0.065393,1.486373,0.866216,-13.083970,-0.000234,0.000968,-0.001884
1201.372736,-0.636154,0.768647,-0.009931,-0.066260,1.528671,0.943146,-13.090719,-0.000234,0.002033,0.000245
1201.393487,-0.636139,0.768597,-0.009858,-0.066992,1.550310,0.948295,-13.079541,-0.000234,-0.000096,-0.000819
1201.414635,-0.636166,0.768646,-0.010177,-0.066123,1.495934,0.868541,-13.087315,-0.000234,-0.000096,-0.001884
1201.435315,-0.636159,0.768639,-0.010338,-0.066244,1.532626,0.905435,-13.104343,-0.000234,0.000968,-0.000819
1201.456611,-0.636143,0.768615,-0.010491,-0.066652,1.548251,0.914347,-13.087599,-0.001298,0.002033,-0.000819
1201.477318,-0.636166,0.768604,-0.010396,-0.066580,1.525526,0.910960,-13.078712,-0.000234,0.000968,-0.001884
1201.498157,-0.636196,0.768611,-0.010362,-0.066219,1.510065,0.896431,-13.080958,-0.000234,0.000968,-0.001884
1201.519349,-0.636204,0.768645,-0.010495,-0.065719,1.501833,0.876939,-13.088677,-0.000234,0.002033,0.000245
1201.540012,-0.636194,0.768584,-0.010293,-0.066565,1.544690,0.937313,-13.041259,-0.000234,0.000968,-0.000819
1201.561766,-0.636189,0.768521,-0.010184,-0.067341,1.557708,0.946597,-13.054292,-0.000234,0.002033,-0.001884
1201.582787,-0.636212,0.768573,-0.010430,-0.066488,1.506653,0.874476,-13.090781,0.000830,-0.000096,-0.000819
1201.603600,-0.636233,0.768573,-0.010296,-0.066314,1.516970,0.909047,-13.103840,-0.000234,0.000968,-0.000819
1201.624897,-0.636260,0.768536,-0.009662,-0.066574,1.509345,0.951529,-13.091737,-0.000234,0.003097,0.000245
1201.645997,-0.636218,0.768530,-0.010269,-0.066949,1.559305,0.909081,-13.060882,-0.000234,0.000968,-0.000819
1201.667272,-0.636242,0.768561,-0.010658,-0.066307,1.521054,0.870630,-13.099624,-0.000234,-0.000096,-0.002948
1201.687916,-0.636261,0.768546,-0.010259,-0.066355,1.513434,0.921994,-13.071298,-0.000234,0.000968,0.000245
1201.708760,-0.636267,0.768514,-0.009765,-0.066744,1.522570,0.951587,-13.090110,-0.000234,0.002033,0.001309
1201.730032,-0.636248,0.768502,-0.010191,-0.067002,1.551978,0.914883,-13.068507,-0.000234,-0.000096,-0.001884
1201.750682,-0.636236,0.768512,-0.010729,-0.066925,1.554557,0.891604,-13.082817,0.000830,0.000968,-0.001884
1201.771977,-0.636261,0.768562,-0.010918,-0.066078,1.503312,0.859163,-13.078343,-0.000234,0.000968,-0.000819
1201.792667,-0.636283,0.768560,-0.010593,-0.065929,1.508639,0.903051,-13.102665,-0.000234,0.002033,0.000245
1201.813517,-0.636278,0.768484,-0.010234,-0.066916,1.556201,0.957929,-13.079772,-0.000234,0.002033,-0.000819
1201.834761,-0.636304,0.768510,-0.010397,-0.066337,1.509138,0.884963,-13.060302,0.000830,-0.000096,-0.001884
1201.855430,-0.636293,0.768517,-0.010567,-0.066342,1.529442,0.897128,-13.056602,0.000830,0.000968,0.000245
1201.876733,-0.636308,0.768504,-0.010268,-0.066404,1.521579,0.922122,-13.110201,-0.000234,0.002033,0.000245
1201.897381,-0.636286,0.768521,-0.010642,-0.066345,1.537696,0.888869,-13.093943,-0.001298,0.002033,0.000245
1201.918634,-0.636308,0.768540,-0.010592,-0.065933,1.505442,0.884559,-13.074651,-0.002363,0.000968,-0.000819
1201.939293,-0.636313,0.768511,-0.010274,-0.066269,1.525209,0.926035,-13.099571,-0.001298,0.002033,0.000245
1201.960111,-0.636269,0.768504,-0.010775,-0.066693,1.560584,0.899295,-13.066340,-0.000234,0.003097,0.000245
1201.981450,-0.636287,0.768485,-0.010547,-0.066775,1.536065,0.921178,-13.101366,0.000830,0.000968,-0.000819
1202.002105,-0.636339,0.768498,-0.010454,-0.066142,1.499292,0.888995,-13.088110,0.001894,-0.000096,-0.002948
1202.023305,-0.636337,0.768556,-0.011113,-0.065367,1.511783,0.830324,-13.119510,0.001894,0.002033,-0.000819
1202.043978,-0.636341,0.768554,-0.011174,-0.065351,1.516437,0.870179,-13.072458,-0.001298,0.003097,-0.000819
1202.064838,-0.636370,0.768495,-0.010311,-0.065891,1.508163,0.945281,-13.099808,-0.002363,0.004161,0.000245
1202.086089,-0.636365,0.768423,-0.010088,-0.066814,1.550325,0.948361,-13.077170,-0.003427,0.003097,-0.001884
1202.106752,-0.636319,0.768443,-0.011119,-0.066855,1.577856,0.863309,-13.061791,-0.000234,0.000968,-0.001884
1202.127939,-0.636361,0.768471,-0.010733,-0.066193,1.494434,0.891293,-13.091936,-0.001298,0.000968,0.000245
1202.148620,-0.636345,0.768417,-0.010336,-0.067037,1.551605,0.952501,-13.058319,-0.001298,0.002033,0.001309
1202.169800,-0.636365,0.768417,-0.010515,-0.066810,1.534067,0.900151,-13.077947,-0.001298,0.000968,-0.002948
1202.190525,-0.636408,0.768425,-0.010143,-0.066376,1.494438,0.910294,-13.058357,-0.001298,0.000968,-0.000819
1202.211477,-0.636356,0.768440,-0.010733,-0.066602,1.555858,0.892036,-13.067363,0.000830,0.000968,0.001309
1202.232730,-0.636420,0.768365,-0.009674,-0.067008,1.505712,0.980509,-13.045666,0.000830,0.000968,-0.001884
1202.253373,-0.636453,0.768411,-0.009929,-0.066127,1.487467,0.875874,-13.083175,0.001894,-0.000096,-0.001884
1202.274662,-0.636407,0.768452,-0.011297,-0.065881,1.572161,0.812759,-13.103655,-0.000234,0.000968,-0.002948
1202.295499,-0.636462,0.768382,-0.010050,-0.066363,1.496835,0.988595,-13.100922,0.000830,0.002033,0.000245
1202.316278,-0.636437,0.768352,-0.010574,-0.066863,1.565228,0.906191,-13.078360,-0.003427,0.004161,-0.002948
1202.337497,-0.636452,0.768336,-0.010367,-0.066942,1.537254,0.926190,-13.094427,-0.000234,-0.001160,-0.000819
1202.358142,-0.636509,0.768371,-0.010009,-0.066049,1.463324,0.891796,-13.072820,-0.002363,0.000968,-0.000819
1202.379500,-0.636426,0.768393,-0.010749,-0.066472,1.564185,0.891688,-13.080125,0.001894,0.002033,0.003437
1202.400158,-0.636476,0.768316,-0.010302,-0.066959,1.532745,0.940126,-13.026352,-0.001298,0.002033,-0.005076
1202.421349,-0.636498,0.768271,-0.010174,-0.067286,1.552452,0.943369,-13.126730,0.001894,0.000968,-0.002948
1202.441925,-0.636511,0.768268,-0.009826,-0.067241,1.522770,0.943597,-13.074319,0.000830,0.000968,0.001309
1202.462713,-0.636478,0.768298,-0.010571,-0.067093,1.560525,0.887643,-13.095499,-0.001298,0.000968,-0.000819
1202.484039,-0.636487,0.768298,-0.010622,-0.067004,1.543376,0.912772,-13.100748,0.001894,0.000968,-0.000819
1202.504703,-0.636526,0.768287,-0.010201,-0.066824,1.515689,0.928951,-13.081027,0.001894,-0.000096,-0.000819
1202.525904,-0.636561,0.768306,-0.009887,-0.066318,1.489595,0.912657,-13.059811,0.000830,-0.000096,0.000245
1202.546658,-0.636509,0.768360,-0.010813,-0.066056,1.539560,0.852510,-13.059031,0.000830,0.003097,0.001309
1202.567958,-0.636508,0.768341,-0.010643,-0.066304,1.530371,0.911135,-13.072623,-0.000234,0.000968,0.000245
1202.588620,-0.636578,0.768291,-0.009663,-0.066361,1.487594,0.961078,-13.094075,0.000830,-0.000096,-0.001884
1202.609426,-0.636562,0.768319,-0.010395,-0.066075,1.529624,0.870071,-13.076760,0.000830,0.000968,-0.001884
1202.630614,-0.636544,0.768373,-0.011011,-0.065527,1.514443,0.842840,-13.059442,-0.000234,0.000968,0.000245
1202.651225,-0.636583,0.768312,-0.010362,-0.065966,1.514271,0.935604,-13.101548,-0.000234,0.003097,-0.001884
1202.672497,-0.636636,0.768223,-0.009128,-0.066673,1.496683,1.014516,-13.078339,-0.000234,0.000968,-0.000819
1202.693196,-0.636603,0.768266,-0.009982,-0.066364,1.528560,0.871933,-13.053139,-0.002363,0.002033,-0.000819
1202.714014,-0.636579,0.768278,-0.010687,-0.066341,1.544129,0.876807,-13.051648,0.000830,0.000968,-0.001884
1202.735200,-0.636604,0.768240,-0.010230,-0.066622,1.521866,0.933497,-13.047787,0.000830,-0.000096,-0.000819
1202.755854,-0.636585,0.768293,-0.011360,-0.066002,1.546036,0.808989,-13.065191,0.001894,0.000968,-0.002948
1202.777083,-0.636674,0.768307,-0.011116,-0.065022,1.465945,0.849715,-13.113595,0.000830,0.000968,-0.005076
1202.797696,-0.636624,0.768312,-0.011381,-0.065390,1.540119,0.869972,-13.123884,-0.007684,0.007354,0.002373
1202.818885,-0.636593,0.768197,-0.011279,-0.067046,1.620877,0.967277,-13.092268,-0.000234,0.006290,-0.001884
1202.839521,-0.636695,0.768091,-0.010284,-0.067449,1.530738,0.978395,-13.079158,0.000830,-0.000096,-0.007205
1202.861724,-0.636739,0.768129,-0.010172,-0.066620,1.498127,0.899277,-13.064866,0.002959,-0.003288,-0.000819
1202.882987,-0.636691,0.768179,-0.010998,-0.066364,1.551203,0.864838,-13.092424,0.002959,-0.000096,0.001309
1202.903690,-0.636728,0.768201,-0.011135,-0.065731,1.506887,0.859038,-13.082966,-0.000234,0.000968,-0.002948
1202.924932,-0.636724,0.768173,-0.010428,-0.066216,1.515776,0.935660,-13.056396,-0.002363,0.002033,0.003437
1202.945584,-0.636686,0.768135,-0.010596,-0.066985,1.569728,0.928921,-13.083967,-0.000234,0.000968,0.000245
1202.966372,-0.636744,0.768159,-0.010661,-0.066135,1.498256,0.871989,-13.093325,0.001894,-0.001160,-0.004012
1202.987649,-0.636757,0.768171,-0.010433,-0.065916,1.507431,0.904284,-13.101573,0.002959,-0.000096,0.001309
1203.008311,-0.636718,0.768140,-0.010330,-0.066669,1.553886,0.938051,-13.101519,-0.000234,-0.000096,0.002373
1203.029618,-0.636734,0.768179,-0.010876,-0.065970,1.516585,0.850570,-13.084639,-0.001298,0.000968,-0.002948
1203.050312,-0.636771,0.768184,-0.010897,-0.065553,1.509909,0.875500,-13.140570,-0.000234,0.002033,-0.002948
1203.071570,-0.636751,0.768157,-0.010744,-0.066087,1.533990,0.911208,-13.070132,-0.001298,0.003097,0.001309
1203.092207,-0.636768,0.768075,-0.010027,-0.066986,1.539314,0.975332,-13.059744,-0.001298,0.002033,-0.000819
1203.113028,-0.636775,0.768058,-0.010132,-0.067099,1.542160,0.926629,-13.078852,0.001894,-0.000096,-0.001884
1203.134282,-0.636766,0.768135,-0.010975,-0.066152,1.519436,0.823406,-13.065534,0.001894,-0.001160,-0.000819
1203.154930,-0.636754,0.768180,-0.011483,-0.065662,1.531991,0.847136,-13.121955,0.002959,-0.000096,0.000245
1203.176235,-0.636801,0.768147,-0.010579,-0.065753,1.494022,0.926208,-13.092312,-0.001298,0.002033,0.000245
1203.196934,-0.636812,0.768104,-0.010365,-0.066171,1.527684,0.920025,-13.099221,-0.004491,0.004161,-0.001884
1203.217747,-0.636798,0.768068,-0.010354,-0.066726,1.550313,0.928058,-13.114252,-0.004491,0.003097,-0.000819
1203.239000,-0.636785,0.768013,-0.009902,-0.067548,1.553609,0.972292,-13.082870,-0.001298,0.003097,0.001309
1203.259653,-0.636832,0.767980,-0.009244,-0.067582,1.515140,0.977196,-13.078439,0.004023,-0.001160,-0.000819
1203.280963,-0.636840,0.768048,-0.009975,-0.066616,1.511678,0.860250,-13.082859,0.002959,-0.003288,-0.001884
1203.301606,-0.636834,0.768127,-0.010323,-0.065711,1.488680,0.856942,-13.114342,0.000830,0.000968,0.002373
1203.322440,-0.636801,0.768190,-0.011194,-0.065139,1.519319,0.817834,-13.092591,-0.001298,0.002033,0.000245
1203.343665,-0.636787,0.768126,-0.011000,-0.066057,1.543877,0.913685,-13.024806,-0.002363,0.003097,-0.000819
1203.364387,-0.636789,0.768062,-0.010590,-0.066846,1.551615,0.943684,-13.072171,-0.002363,0.000968,-0.000819
1203.385860,-0.636781,0.768054,-0.010953,-0.066953,1.560342,0.900775,-13.099649,0.000830,0.000968,-0.001884
1203.406519,-0.636842,0.768054,-0.010484,-0.066452,1.501238,0.912329,-13.115194,0.000830,0.000968,-0.001884
1203.427354,-0.636879,0.768030,-0.009783,-0.066481,1.496405,0.943845,-13.064528,-0.001298,0.002033,0.000245
1203.448662,-0.636851,0.768022,-0.010207,-0.066770,1.548273,0.913177,-13.086359,-0.001298,0.002033,-0.000819
1203.469384,-0.636899,0.768022,-0.010031,-0.066341,1.501403,0.909249,-13.096061,-0.001298,0.000968,-0.002948
1203.490566,-0.636885,0.768022,-0.009859,-0.066499,1.519302,0.930260,-13.077403,0.000830,-0.000096,0.002373
1203.511229,-0.636823,0.768037,-0.010911,-0.066749,1.577846,0.873394,-13.045621,0.001894,-0.000096,-0.000819
1203.532484,-0.636886,0.767998,-0.010319,-0.066701,1.512246,0.932177,-13.051611,0.002959,-0.001160,-0.002948
1203.553154,-0.636887,0.768031,-0.010814,-0.066222,1.527203,0.866194,-13.086165,-0.001298,0.000968,-0.001884
1203.573989,-0.636834,0.768034,-0.011485,-0.066589,1.576291,0.878183,-13.089804,-0.001298,0.003097,0.000245
1203.595189,-0.636886,0.767988,-0.010754,-0.066755,1.524079,0.932675,-13.077351,-0.002363,0.002033,-0.001884
1203.615838,-0.636931,0.767962,-0.010095,-0.066721,1.511751,0.942684,-13.106695,-0.000234,-0.000096,-0.000819
1203.637094,-0.636921,0.767993,-0.010603,-0.066376,1.534125,0.881414,-13.102040,0.000830,-0.000096,-0.000819
1203.657765,-0.636933,0.767988,-0.011054,-0.066252,1.540357,0.876073,-13.077855,0.000830,0.002033,-0.004012
1203.678604,-0.636981,0.767937,-0.010349,-0.066487,1.516677,0.940684,-13.092197,-0.000234,0.000968,-0.001884
