t,x,y,theta
1197.187813,-3.9599,-2.0888,0.4288
1197.212434,-3.9599,-2.0888,0.4289
1197.244975,-3.9599,-2.0888,0.4289
1197.286634,-3.9599,-2.0888,0.4289
1197.309308,-3.9599,-2.0888,0.4288
1197.355028,-3.9599,-2.0888,0.4290
1197.378011,-3.9599,-2.0888,0.4290
1197.421442,-3.9599,-2.0888,0.4290
1197.442894,-3.9599,-2.0888,0.4291
1197.485686,-3.9599,-2.0888,0.4290
1197.508655,-3.9599,-2.0888,0.4289
1197.529898,-3.9599,-2.0888,0.4290
1197.586497,-3.9599,-2.0888,0.4290
1197.616657,-3.9599,-2.0888,0.4291
1197.648955,-3.9599,-2.0888,0.4291
1197.682380,-3.9599,-2.0888,0.4291
1197.711178,-3.9599,-2.0888,0.4292
1197.752458,-3.9599,-2.0888,0.4291
1197.773229,-3.9599,-2.0888,0.4292
1197.814704,-3.9599,-2.0888,0.4294
1197.856278,-3.9599,-2.0888,0.4293
1197.877040,-3.9599,-2.0888,0.4294
1197.918612,-3.9599,-2.0888,0.4294
1197.939353,-3.9599,-2.0888,0.4294
1197.987911,-3.9599,-2.0888,0.4297
1198.023275,-3.9599,-2.0888,0.4297
1198.050710,-3.9599,-2.0888,0.4296
1198.087028,-3.9599,-2.0888,0.4295
1198.113377,-3.9599,-2.0888,0.4295
1198.155348,-3.9599,-2.0888,0.4295
1198.176214,-3.9599,-2.0888,0.4294
1198.218551,-3.9599,-2.0888,0.4297
1198.255959,-3.9599,-2.0888,0.4296
1198.281750,-3.9599,-2.0888,0.4296
1198.318002,-3.9599,-2.0888,0.4298
1198.344770,-3.9599,-2.0888,0.4298
1198.380476,-3.9599,-2.0888,0.4298
1198.401459,-3.9599,-2.0888,0.4299
1198.454098,-3.9599,-2.0888,0.4298
1198.486488,-3.9599,-2.0888,0.4300
1198.520120,-3.9599,-2.0888,0.4299
1198.549789,-3.9599,-2.0888,0.4300
1198.583206,-3.9599,-2.0888,0.4302
1198.614211,-3.9599,-2.0888,0.4301
1198.655901,-3.9599,-2.0888,0.4302
1198.676904,-3.9599,-2.0888,0.4302
1198.718703,-3.9599,-2.0888,0.4303
1198.754206,-3.9599,-2.0888,0.4303
1198.781493,-3.9599,-2.0888,0.4303
1198.818649,-3.9599,-2.0888,0.4304
1198.846259,-3.9599,-2.0888,0.4303
1198.882215,-3.9599,-2.0888,0.4304
1198.910057,-3.9599,-2.0888,0.4306
1198.978440,-3.9599,-2.0888,0.4302
1199.001304,-3.9599,-2.0888,0.4302
1199.047378,-3.9599,-2.0888,0.4302
1199.068920,-3.9599,-2.0888,0.4303
1199.111195,-3.9599,-2.0888,0.4304
1199.154799,-3.9599,-2.0888,0.4307
1199.175669,-3.9599,-2.0888,0.4307
1199.219190,-3.9599,-2.0888,0.4306
1199.253203,-3.9599,-2.0888,0.4308
1199.282169,-3.9599,-2.0888,0.4308
1199.316143,-3.9599,-2.0888,0.4308
1199.346230,-3.9599,-2.0888,0.4310
1199.389079,-3.9599,-2.0888,0.4309
